title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,imageURL
Rep,Aaron,,Schock,,,R,IL,18,1,M,202-225-6201,202-225-9249,http://schock.house.gov,https://forms.house.gov/schock/contact-form.shtml,328 Cannon House Office Building,S001179,33428,H8IL18043,412314,N00029273,RepAaronSchock,http://www.opencongress.org/wiki/Aaron_Schock,http://youtube.com/repaaronschock,70882853544,,,5/28/1981,http://www.trbimg.com/img-50cbac5f/turbine/chi-house-ethics-panel-launches-probe-of-schoc-001/600
Rep,Adam,,Kinzinger,,,R,IL,16,1,M,202-225-3635,202- 225-3521,http://kinzinger.house.gov,https://kinzingerforms.house.gov/email-adam,1221 Longworth House Office Building,K000378,116559,H0IL11052,412421,N00030667,RepKinzinger,http://www.opencongress.org/wiki/Adam_Kinzinger,http://youtube.com/RepAdamKinzinger,1.87811E+14,,,2/27/1978,"http://upload.wikimedia.org/wikipedia/commons/7/7a/Adam_Kinzinger,_Official_Portrait,_112th_Congress.jpg"
Rep,Adam,H.,Putnam,,,R,FL,12,0,M,,,http://adamputnam.house.gov,,,P000586,12913,H0FL12051,400328,N00009618,,http://www.opencongress.org/wiki/Adam_Putnam,http://youtube.com/FL12Putnam,,,,7/31/1974,http://upload.wikimedia.org/wikipedia/commons/8/82/Adam_Putnam.jpg
Rep,Adam,,Smith,,,D,WA,9,1,M,202-225-8901,202-225-5893,http://www.house.gov/adamsmith,http://adamsmith.house.gov/Contact/,2264 Rayburn House Office Building,S000510,845,H6WA09025,400379,N00007833,RepAdamSmith,http://www.opencongress.org/wiki/Adam_Smith,http://youtube.com/CongressmanAdamSmith,2.88587E+14,,,6/15/1965,"http://upload.wikimedia.org/wikipedia/commons/d/d3/Adam_Schiff,_official_photo_portrait,_111th_Congress.jpg"
Rep,Adam,B.,Schiff,,,D,CA,28,1,M,202-225-4176,202-225-5828,http://schiff.house.gov,http://schiff.house.gov/contact-me/,2411 Rayburn House Office Building,S001150,9489,H0CA27085,400361,N00009585,RepAdamSchiff,http://www.opencongress.org/wiki/Adam_Schiff,http://youtube.com/adamschiff,9086721830,,,6/22/1960,http://upload.wikimedia.org/wikipedia/commons/0/0a/AdamSmith.jpg
Rep,Adrian,M.,Smith,,,R,NE,3,1,M,202-225-6435,202-225-0207,http://adriansmith.house.gov/,https://adriansmith.house.gov/contact-me/email-me,2241 Rayburn House Office Building,S001172,21284,H6NE03115,412217,N00027623,RepAdrianSmith,http://www.opencongress.org/wiki/Adrian_Smith,http://youtube.com/RepAdrianSmith,,,,12/19/1970,http://upload.wikimedia.org/wikipedia/commons/f/f6/Adrian_Smith_Iron_Maiden_Newcastle.jpg
Rep,Al,,Green,,,D,TX,9,1,M,202-225-7508,202-225-2947,http://www.house.gov/algreen,http://www.house.gov/writerep,2201 Rayburn House Office Building,G000553,49680,H4TX09095,400653,N00026686,RepAlGreen,http://www.opencongress.org/wiki/Al_Green,http://youtube.com/RepAlGreen,1.36238E+14,,,9/1/1947,http://al-green.sarkisisozleri.org/galeri/a/al-green/al-green-0.jpg
Sen,Alan,Stuart,Franken,,Al,D,MN,Junior Seat,1,M,202-224-5641,,http://www.franken.senate.gov,http://www.franken.senate.gov/?p=contact,309 Hart Senate Office Building,F000457,108924,S8MN00438,412378,N00029016,,http://www.opencongress.org/wiki/Al_Franken,http://youtube.com/SenatorFranken,,,II,5/21/1951,http://upload.wikimedia.org/wikipedia/commons/7/70/Al_Franken_Official_Senate_Portrait.jpg
Rep,Alan,,Grayson,,,D,FL,9,1,M,202-225-9889,202-225-9742,http://grayson.house.gov,https://grayson.house.gov/contact/email-me,430 Cannon House Office Building,G000556,68184,H6FL08213,412276,N00028418,,http://www.opencongress.org/wiki/Alan_Grayson,http://youtube.com/repalangrayson,,,,3/13/1958,http://www.wired.com/images_blogs/dangerroom/2010/02/grayson_high_res.jpg
Rep,Alan,S.,Lowenthal,,,D,CA,47,1,M,202-225-7924,202-225-7926,http://lowenthal.house.gov,http://lowenthal.house.gov/contact/email-me,515 Cannon House Office Building,L000579,16469,H2CA00104,412521,N00033274,RepLowenthal,,http://youtube.com/RepLowenthal,3.92632E+14,,,3/8/1941,http://upload.wikimedia.org/wikipedia/commons/f/f7/Alan_Lowenthal_113th_Congress_Portrait.jpeg
Rep,Alan,Bowlby,Mollohan,,,D,WV,1,0,M,,,http://www.house.gov/mollohan,,,M000844,27130,H2WV01029,400281,N00002214,,http://www.opencongress.org/wiki/Alan_Mollohan,,,,,5/14/1943,http://www.nndb.com/people/062/000039942/alan-mollohan-1.jpg
Rep,Alan,Alan,Nunnelee,,Alan,R,MS,1,1,M,202-225-4306,202- 225-3549,http://nunnelee.house.gov,http://nunnelee.house.gov/contact/,1427 Longworth House Office Building,N000186,8326,H0MS01043,412442,N00031006,RepAlanNunnelee,http://www.opencongress.org/wiki/Alan_Nunnelee,http://youtube.com/congressmannunnelee,1.44919E+14,,,10/9/1958,"http://upload.wikimedia.org/wikipedia/commons/3/3d/Alan_Nunnelee,_112th_Congress_Official_Portrait.jpg"
Rep,Albert,Russell,Wynn,,Al,D,MD,4,0,M,,,http://www.house.gov/wynn,,,W000784,26889,H2MD05361,400438,N00001849,,http://www.opencongress.org/wiki/Albert_Wynn,,,,,9/10/1951,http://upload.wikimedia.org/wikipedia/commons/4/42/Albert_Wynn.jpg
Rep,Albio,,Sires,,,D,NJ,8,1,M,202-225-7919,202-226-0792,http://sires.house.gov,https://sires.house.gov/contact-me/email-me,2342 Rayburn House Office Building,S001165,22510,H6NJ13191,412186,N00027523,Rep_Albio_Sires,http://www.opencongress.org/wiki/Albio_Sires,http://youtube.com/RepSiresNJ13,81058818750,,,1/26/1951,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Albio_sires.jpg/220px-Albio_sires.jpg
